umur_alat,jam_operasional,kondisi_terakhir,jumlah_perbaikan,lokasi_operasi,jenis_alat,label_risiko
6,6503,Dalam Perbaikan,7,Risiko Rendah,Backhoe Loader,Risiko Tinggi
0,7414,Rusak,9,Risiko Tinggi,Excavator,Risiko Tinggi
6,4221,Dalam Perbaikan,3,Risiko Tinggi,Bulldozer,Risiko Sedang
17,3516,Baik,9,Risiko Sedang,Motor Grader,Risiko Tinggi
8,3412,Baik,10,Risiko Tinggi,Backhoe Loader,Risiko Sedang
10,7984,Rusak,1,Risiko Tinggi,Dump Truck,Risiko Tinggi
10,6442,Dalam Perbaikan,8,Risiko Rendah,Forklift,Risiko Tinggi
11,356,Dalam Perbaikan,6,Risiko Sedang,Compactor,Risiko Sedang
3,133,Rusak,1,Risiko Sedang,Motor Grader,Risiko Rendah
3,5382,Dalam Perbaikan,1,Risiko Tinggi,Crane,Risiko Tinggi
22,363,Rusak,8,Risiko Sedang,Bulldozer,Risiko Tinggi
0,6382,Dalam Perbaikan,7,Risiko Tinggi,Wheel Loader,Risiko Tinggi
6,1493,Baik,1,Risiko Tinggi,Wheel Loader,Risiko Rendah
25,2403,Baik,0,Risiko Rendah,Excavator,Risiko Tinggi
16,7646,Rusak,8,Risiko Sedang,Dump Truck,Risiko Tinggi
11,2075,Baik,10,Risiko Rendah,Compactor,Risiko Rendah
15,7062,Baik,10,Risiko Sedang,Compactor,Risiko Tinggi
23,6548,Rusak,6,Risiko Sedang,Wheel Loader,Risiko Tinggi
14,2777,Baik,7,Risiko Tinggi,Wheel Loader,Risiko Tinggi
15,7571,Dalam Perbaikan,4,Risiko Rendah,Forklift,Risiko Tinggi
24,3527,Dalam Perbaikan,2,Risiko Tinggi,Compactor,Risiko Tinggi
16,840,Baik,5,Risiko Tinggi,Compactor,Risiko Tinggi
17,3652,Dalam Perbaikan,6,Risiko Rendah,Wheel Loader,Risiko Tinggi
15,3662,Baik,5,Risiko Tinggi,Forklift,Risiko Tinggi
18,5238,Baik,1,Risiko Tinggi,Forklift,Risiko Tinggi
15,4203,Dalam Perbaikan,10,Risiko Rendah,Excavator,Risiko Tinggi
22,6952,Dalam Perbaikan,10,Risiko Sedang,Excavator,Risiko Tinggi
22,550,Baik,10,Risiko Sedang,Crane,Risiko Tinggi
14,7778,Dalam Perbaikan,0,Risiko Tinggi,Bulldozer,Risiko Tinggi
5,3685,Rusak,5,Risiko Sedang,Backhoe Loader,Risiko Sedang
8,1127,Dalam Perbaikan,5,Risiko Sedang,Crane,Risiko Sedang
6,2283,Baik,1,Risiko Rendah,Bulldozer,Risiko Rendah
11,4241,Rusak,8,Risiko Rendah,Compactor,Risiko Sedang
2,2132,Dalam Perbaikan,7,Risiko Rendah,Lainnya,Risiko Rendah
17,5685,Rusak,3,Risiko Rendah,Bulldozer,Risiko Tinggi
24,3703,Baik,7,Risiko Rendah,Crane,Risiko Tinggi
5,2846,Dalam Perbaikan,1,Risiko Tinggi,Dump Truck,Risiko Rendah
17,7301,Rusak,2,Risiko Tinggi,Bulldozer,Risiko Tinggi
1,2961,Dalam Perbaikan,3,Risiko Rendah,Motor Grader,Risiko Rendah
1,1137,Baik,7,Risiko Rendah,Crane,Risiko Rendah
9,4688,Rusak,7,Risiko Tinggi,Bulldozer,Risiko Tinggi
7,7243,Baik,1,Risiko Sedang,Forklift,Risiko Tinggi
4,5888,Rusak,8,Risiko Sedang,Forklift,Risiko Tinggi
0,4709,Baik,2,Risiko Sedang,Backhoe Loader,Risiko Rendah
12,3816,Dalam Perbaikan,8,Risiko Sedang,Bulldozer,Risiko Sedang
0,6391,Dalam Perbaikan,10,Risiko Tinggi,Bulldozer,Risiko Tinggi
2,7915,Baik,6,Risiko Tinggi,Excavator,Risiko Tinggi
0,1017,Dalam Perbaikan,2,Risiko Sedang,Bulldozer,Risiko Rendah
21,2643,Dalam Perbaikan,3,Risiko Sedang,Dump Truck,Risiko Tinggi
17,6929,Baik,4,Risiko Rendah,Dump Truck,Risiko Tinggi
18,1025,Dalam Perbaikan,4,Risiko Tinggi,Dump Truck,Risiko Tinggi
24,4117,Dalam Perbaikan,2,Risiko Tinggi,Lainnya,Risiko Tinggi
22,1402,Dalam Perbaikan,9,Risiko Tinggi,Lainnya,Risiko Tinggi
16,6902,Dalam Perbaikan,0,Risiko Rendah,Backhoe Loader,Risiko Tinggi
25,7770,Dalam Perbaikan,9,Risiko Sedang,Motor Grader,Risiko Tinggi
2,4686,Rusak,9,Risiko Tinggi,Excavator,Risiko Sedang
11,7282,Dalam Perbaikan,8,Risiko Sedang,Compactor,Risiko Tinggi
11,2006,Dalam Perbaikan,6,Risiko Sedang,Wheel Loader,Risiko Sedang
24,5641,Baik,2,Risiko Sedang,Forklift,Risiko Tinggi
11,3804,Baik,5,Risiko Tinggi,Bulldozer,Risiko Sedang
16,7057,Dalam Perbaikan,5,Risiko Tinggi,Crane,Risiko Tinggi
14,1071,Rusak,8,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
16,1980,Rusak,1,Risiko Sedang,Wheel Loader,Risiko Tinggi
19,1154,Baik,0,Risiko Sedang,Forklift,Risiko Tinggi
7,3425,Baik,2,Risiko Sedang,Lainnya,Risiko Rendah
3,2561,Baik,2,Risiko Sedang,Dump Truck,Risiko Rendah
12,4085,Rusak,7,Risiko Rendah,Backhoe Loader,Risiko Sedang
14,4140,Rusak,3,Risiko Rendah,Lainnya,Risiko Tinggi
15,398,Baik,4,Risiko Sedang,Lainnya,Risiko Tinggi
0,5359,Dalam Perbaikan,7,Risiko Sedang,Dump Truck,Risiko Tinggi
26,6940,Baik,6,Risiko Rendah,Compactor,Risiko Tinggi
3,2996,Rusak,5,Risiko Rendah,Forklift,Risiko Rendah
25,4671,Dalam Perbaikan,3,Risiko Sedang,Dump Truck,Risiko Tinggi
17,602,Rusak,8,Risiko Sedang,Dump Truck,Risiko Tinggi
18,6760,Dalam Perbaikan,10,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
22,7987,Baik,6,Risiko Sedang,Crane,Risiko Tinggi
9,7691,Rusak,2,Risiko Rendah,Lainnya,Risiko Tinggi
10,3288,Dalam Perbaikan,0,Risiko Rendah,Excavator,Risiko Sedang
22,5845,Rusak,7,Risiko Tinggi,Wheel Loader,Risiko Tinggi
22,4966,Dalam Perbaikan,2,Risiko Sedang,Lainnya,Risiko Tinggi
16,1331,Rusak,9,Risiko Tinggi,Compactor,Risiko Tinggi
8,2755,Dalam Perbaikan,8,Risiko Tinggi,Wheel Loader,Risiko Sedang
4,4611,Rusak,7,Risiko Rendah,Crane,Risiko Sedang
16,5519,Baik,6,Risiko Tinggi,Compactor,Risiko Tinggi
1,7362,Dalam Perbaikan,10,Risiko Rendah,Lainnya,Risiko Tinggi
11,2175,Dalam Perbaikan,9,Risiko Tinggi,Motor Grader,Risiko Sedang
3,420,Dalam Perbaikan,7,Risiko Rendah,Dump Truck,Risiko Rendah
6,5907,Dalam Perbaikan,6,Risiko Rendah,Motor Grader,Risiko Tinggi
25,4690,Dalam Perbaikan,1,Risiko Rendah,Excavator,Risiko Tinggi
12,2569,Rusak,2,Risiko Sedang,Motor Grader,Risiko Sedang
13,4110,Dalam Perbaikan,7,Risiko Tinggi,Excavator,Risiko Tinggi
4,1131,Dalam Perbaikan,3,Risiko Tinggi,Crane,Risiko Rendah
5,3918,Dalam Perbaikan,6,Risiko Sedang,Bulldozer,Risiko Sedang
12,7472,Dalam Perbaikan,5,Risiko Tinggi,Crane,Risiko Tinggi
5,6324,Dalam Perbaikan,10,Risiko Tinggi,Compactor,Risiko Tinggi
7,3966,Baik,3,Risiko Sedang,Dump Truck,Risiko Rendah
17,1842,Rusak,4,Risiko Tinggi,Motor Grader,Risiko Tinggi
4,5775,Rusak,5,Risiko Sedang,Crane,Risiko Tinggi
9,7648,Dalam Perbaikan,4,Risiko Sedang,Backhoe Loader,Risiko Tinggi
8,5542,Dalam Perbaikan,6,Risiko Sedang,Crane,Risiko Tinggi
2,6591,Baik,4,Risiko Rendah,Compactor,Risiko Tinggi
4,647,Rusak,7,Risiko Tinggi,Compactor,Risiko Sedang
3,3924,Baik,3,Risiko Tinggi,Compactor,Risiko Rendah
9,5703,Rusak,2,Risiko Rendah,Lainnya,Risiko Tinggi
3,4807,Baik,3,Risiko Rendah,Dump Truck,Risiko Rendah
19,5226,Baik,0,Risiko Rendah,Forklift,Risiko Tinggi
16,5876,Rusak,1,Risiko Tinggi,Bulldozer,Risiko Tinggi
26,7901,Dalam Perbaikan,2,Risiko Sedang,Wheel Loader,Risiko Tinggi
11,5329,Baik,4,Risiko Sedang,Compactor,Risiko Tinggi
6,484,Baik,10,Risiko Tinggi,Motor Grader,Risiko Rendah
9,6051,Dalam Perbaikan,0,Risiko Rendah,Forklift,Risiko Tinggi
0,1440,Baik,6,Risiko Sedang,Bulldozer,Risiko Rendah
3,7881,Rusak,0,Risiko Rendah,Compactor,Risiko Tinggi
8,4937,Baik,5,Risiko Sedang,Wheel Loader,Risiko Sedang
6,4450,Dalam Perbaikan,7,Risiko Rendah,Dump Truck,Risiko Sedang
12,2235,Baik,1,Risiko Sedang,Bulldozer,Risiko Rendah
3,3759,Dalam Perbaikan,4,Risiko Tinggi,Bulldozer,Risiko Sedang
26,6034,Rusak,4,Risiko Tinggi,Motor Grader,Risiko Tinggi
21,5004,Dalam Perbaikan,6,Risiko Sedang,Dump Truck,Risiko Tinggi
16,710,Rusak,10,Risiko Rendah,Bulldozer,Risiko Tinggi
22,3911,Rusak,3,Risiko Rendah,Compactor,Risiko Tinggi
14,1929,Rusak,4,Risiko Sedang,Compactor,Risiko Tinggi
8,5921,Dalam Perbaikan,0,Risiko Sedang,Crane,Risiko Tinggi
4,1935,Baik,10,Risiko Rendah,Wheel Loader,Risiko Rendah
17,1308,Rusak,10,Risiko Tinggi,Compactor,Risiko Tinggi
4,961,Dalam Perbaikan,4,Risiko Sedang,Lainnya,Risiko Rendah
19,1795,Baik,7,Risiko Rendah,Wheel Loader,Risiko Tinggi
3,4962,Rusak,6,Risiko Tinggi,Dump Truck,Risiko Sedang
11,6204,Dalam Perbaikan,10,Risiko Rendah,Motor Grader,Risiko Tinggi
5,6182,Dalam Perbaikan,1,Risiko Tinggi,Wheel Loader,Risiko Tinggi
10,5765,Rusak,1,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
25,6789,Dalam Perbaikan,8,Risiko Rendah,Lainnya,Risiko Tinggi
9,1227,Baik,5,Risiko Tinggi,Wheel Loader,Risiko Rendah
23,5572,Baik,9,Risiko Sedang,Backhoe Loader,Risiko Tinggi
10,3649,Baik,7,Risiko Rendah,Dump Truck,Risiko Sedang
13,3742,Dalam Perbaikan,0,Risiko Tinggi,Wheel Loader,Risiko Tinggi
5,6610,Rusak,0,Risiko Sedang,Compactor,Risiko Tinggi
0,24,Dalam Perbaikan,3,Risiko Tinggi,Backhoe Loader,Risiko Rendah
25,3470,Rusak,1,Risiko Tinggi,Excavator,Risiko Tinggi
24,7649,Rusak,0,Risiko Sedang,Forklift,Risiko Tinggi
21,6299,Baik,10,Risiko Tinggi,Forklift,Risiko Tinggi
15,7301,Rusak,7,Risiko Sedang,Forklift,Risiko Tinggi
24,5592,Dalam Perbaikan,8,Risiko Rendah,Crane,Risiko Tinggi
23,1462,Dalam Perbaikan,6,Risiko Tinggi,Bulldozer,Risiko Tinggi
3,1824,Baik,0,Risiko Sedang,Wheel Loader,Risiko Rendah
5,5890,Dalam Perbaikan,6,Risiko Tinggi,Forklift,Risiko Tinggi
0,1881,Baik,7,Risiko Sedang,Bulldozer,Risiko Rendah
18,1544,Dalam Perbaikan,1,Risiko Rendah,Forklift,Risiko Tinggi
7,6275,Baik,3,Risiko Rendah,Backhoe Loader,Risiko Tinggi
23,4865,Baik,7,Risiko Tinggi,Excavator,Risiko Tinggi
19,6066,Baik,6,Risiko Sedang,Motor Grader,Risiko Tinggi
9,1779,Baik,2,Risiko Tinggi,Compactor,Risiko Rendah
19,6682,Dalam Perbaikan,9,Risiko Sedang,Lainnya,Risiko Tinggi
7,6328,Dalam Perbaikan,5,Risiko Rendah,Compactor,Risiko Tinggi
22,5408,Dalam Perbaikan,3,Risiko Sedang,Compactor,Risiko Tinggi
18,499,Dalam Perbaikan,9,Risiko Tinggi,Bulldozer,Risiko Tinggi
6,5560,Rusak,8,Risiko Sedang,Excavator,Risiko Tinggi
15,7713,Dalam Perbaikan,10,Risiko Sedang,Dump Truck,Risiko Tinggi
16,5704,Rusak,6,Risiko Rendah,Compactor,Risiko Tinggi
14,1506,Dalam Perbaikan,7,Risiko Rendah,Motor Grader,Risiko Tinggi
17,7024,Dalam Perbaikan,2,Risiko Sedang,Excavator,Risiko Tinggi
9,3380,Rusak,8,Risiko Tinggi,Bulldozer,Risiko Tinggi
14,1989,Rusak,3,Risiko Sedang,Backhoe Loader,Risiko Tinggi
12,6939,Rusak,1,Risiko Tinggi,Motor Grader,Risiko Tinggi
25,2199,Rusak,10,Risiko Tinggi,Lainnya,Risiko Tinggi
25,7156,Baik,3,Risiko Tinggi,Dump Truck,Risiko Tinggi
20,3927,Baik,5,Risiko Sedang,Excavator,Risiko Tinggi
20,7677,Baik,1,Risiko Tinggi,Wheel Loader,Risiko Tinggi
19,5698,Dalam Perbaikan,3,Risiko Sedang,Motor Grader,Risiko Tinggi
9,2634,Rusak,6,Risiko Sedang,Dump Truck,Risiko Sedang
6,2943,Rusak,4,Risiko Sedang,Dump Truck,Risiko Rendah
11,3817,Baik,7,Risiko Sedang,Motor Grader,Risiko Sedang
15,2563,Rusak,0,Risiko Tinggi,Motor Grader,Risiko Tinggi
3,1195,Baik,4,Risiko Tinggi,Lainnya,Risiko Rendah
8,5898,Rusak,4,Risiko Rendah,Motor Grader,Risiko Tinggi
16,1884,Rusak,9,Risiko Rendah,Wheel Loader,Risiko Tinggi
9,5362,Dalam Perbaikan,5,Risiko Sedang,Wheel Loader,Risiko Tinggi
3,5256,Dalam Perbaikan,7,Risiko Sedang,Bulldozer,Risiko Tinggi
3,6512,Rusak,2,Risiko Rendah,Dump Truck,Risiko Tinggi
11,1507,Dalam Perbaikan,10,Risiko Rendah,Dump Truck,Risiko Sedang
25,6873,Baik,10,Risiko Rendah,Excavator,Risiko Tinggi
13,1126,Dalam Perbaikan,3,Risiko Rendah,Bulldozer,Risiko Tinggi
26,1791,Dalam Perbaikan,7,Risiko Sedang,Excavator,Risiko Tinggi
7,5224,Dalam Perbaikan,9,Risiko Sedang,Wheel Loader,Risiko Tinggi
26,54,Dalam Perbaikan,8,Risiko Sedang,Excavator,Risiko Tinggi
26,4336,Dalam Perbaikan,4,Risiko Tinggi,Compactor,Risiko Tinggi
26,4114,Dalam Perbaikan,10,Risiko Sedang,Bulldozer,Risiko Tinggi
23,7520,Baik,8,Risiko Rendah,Motor Grader,Risiko Tinggi
20,5077,Dalam Perbaikan,4,Risiko Sedang,Compactor,Risiko Tinggi
1,3251,Baik,5,Risiko Sedang,Wheel Loader,Risiko Rendah
8,1992,Dalam Perbaikan,3,Risiko Sedang,Backhoe Loader,Risiko Sedang
6,7030,Dalam Perbaikan,0,Risiko Rendah,Forklift,Risiko Tinggi
14,3089,Dalam Perbaikan,7,Risiko Rendah,Excavator,Risiko Tinggi
4,1403,Baik,7,Risiko Sedang,Crane,Risiko Rendah
8,7028,Baik,8,Risiko Rendah,Motor Grader,Risiko Tinggi
20,7383,Dalam Perbaikan,9,Risiko Sedang,Compactor,Risiko Tinggi
25,7570,Baik,10,Risiko Sedang,Dump Truck,Risiko Tinggi
8,5391,Baik,2,Risiko Sedang,Excavator,Risiko Tinggi
20,4808,Baik,6,Risiko Rendah,Compactor,Risiko Tinggi
21,4619,Baik,9,Risiko Sedang,Dump Truck,Risiko Tinggi
16,3144,Dalam Perbaikan,2,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
10,6106,Rusak,0,Risiko Rendah,Forklift,Risiko Tinggi
19,6870,Baik,5,Risiko Tinggi,Lainnya,Risiko Tinggi
7,3249,Rusak,0,Risiko Tinggi,Compactor,Risiko Sedang
1,3690,Rusak,3,Risiko Sedang,Dump Truck,Risiko Sedang
14,3537,Baik,10,Risiko Tinggi,Forklift,Risiko Tinggi
24,6325,Dalam Perbaikan,4,Risiko Rendah,Backhoe Loader,Risiko Tinggi
24,2195,Baik,6,Risiko Tinggi,Bulldozer,Risiko Tinggi
3,3191,Rusak,5,Risiko Rendah,Backhoe Loader,Risiko Sedang
26,7724,Rusak,7,Risiko Sedang,Compactor,Risiko Tinggi
23,1085,Baik,2,Risiko Sedang,Wheel Loader,Risiko Tinggi
9,4544,Dalam Perbaikan,6,Risiko Rendah,Excavator,Risiko Sedang
24,2899,Dalam Perbaikan,1,Risiko Tinggi,Lainnya,Risiko Tinggi
1,2657,Rusak,0,Risiko Sedang,Forklift,Risiko Rendah
14,6382,Baik,8,Risiko Rendah,Lainnya,Risiko Tinggi
10,1389,Dalam Perbaikan,6,Risiko Rendah,Bulldozer,Risiko Sedang
18,2466,Rusak,7,Risiko Rendah,Backhoe Loader,Risiko Tinggi
21,3560,Rusak,6,Risiko Sedang,Wheel Loader,Risiko Tinggi
1,630,Rusak,4,Risiko Rendah,Wheel Loader,Risiko Rendah
7,5051,Baik,7,Risiko Rendah,Bulldozer,Risiko Tinggi
17,55,Rusak,5,Risiko Tinggi,Forklift,Risiko Tinggi
1,7063,Rusak,7,Risiko Sedang,Forklift,Risiko Tinggi
0,6746,Dalam Perbaikan,9,Risiko Rendah,Compactor,Risiko Tinggi
16,4941,Dalam Perbaikan,3,Risiko Sedang,Crane,Risiko Tinggi
21,7901,Rusak,5,Risiko Sedang,Wheel Loader,Risiko Tinggi
8,6405,Baik,5,Risiko Sedang,Compactor,Risiko Tinggi
0,6437,Rusak,5,Risiko Rendah,Lainnya,Risiko Tinggi
20,4851,Dalam Perbaikan,2,Risiko Tinggi,Dump Truck,Risiko Tinggi
26,7807,Dalam Perbaikan,7,Risiko Tinggi,Motor Grader,Risiko Tinggi
12,6534,Rusak,1,Risiko Sedang,Wheel Loader,Risiko Tinggi
22,5188,Rusak,3,Risiko Sedang,Bulldozer,Risiko Tinggi
4,3466,Rusak,1,Risiko Sedang,Lainnya,Risiko Sedang
11,4769,Rusak,8,Risiko Tinggi,Forklift,Risiko Sedang
9,301,Rusak,8,Risiko Tinggi,Backhoe Loader,Risiko Sedang
23,6299,Baik,10,Risiko Tinggi,Crane,Risiko Tinggi
21,5300,Dalam Perbaikan,0,Risiko Tinggi,Forklift,Risiko Tinggi
2,2716,Rusak,1,Risiko Rendah,Backhoe Loader,Risiko Rendah
18,1818,Dalam Perbaikan,8,Risiko Tinggi,Lainnya,Risiko Tinggi
4,4712,Baik,7,Risiko Sedang,Forklift,Risiko Rendah
12,6327,Dalam Perbaikan,9,Risiko Tinggi,Dump Truck,Risiko Tinggi
22,2825,Baik,7,Risiko Rendah,Compactor,Risiko Tinggi
13,7541,Baik,1,Risiko Tinggi,Bulldozer,Risiko Tinggi
15,2555,Rusak,7,Risiko Rendah,Dump Truck,Risiko Tinggi
11,2853,Rusak,1,Risiko Sedang,Wheel Loader,Risiko Sedang
16,550,Rusak,0,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
26,6956,Rusak,10,Risiko Rendah,Bulldozer,Risiko Tinggi
3,1998,Dalam Perbaikan,2,Risiko Tinggi,Bulldozer,Risiko Rendah
16,4586,Rusak,7,Risiko Rendah,Forklift,Risiko Tinggi
6,1511,Baik,10,Risiko Tinggi,Forklift,Risiko Rendah
14,239,Dalam Perbaikan,9,Risiko Rendah,Wheel Loader,Risiko Tinggi
8,3518,Rusak,0,Risiko Tinggi,Motor Grader,Risiko Sedang
20,2280,Dalam Perbaikan,1,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
1,7143,Dalam Perbaikan,2,Risiko Sedang,Crane,Risiko Tinggi
20,3748,Baik,4,Risiko Tinggi,Wheel Loader,Risiko Tinggi
10,7912,Dalam Perbaikan,5,Risiko Tinggi,Forklift,Risiko Tinggi
7,3215,Dalam Perbaikan,1,Risiko Sedang,Crane,Risiko Rendah
12,5057,Baik,10,Risiko Tinggi,Compactor,Risiko Tinggi
7,4834,Baik,10,Risiko Rendah,Crane,Risiko Rendah
23,1954,Rusak,1,Risiko Rendah,Crane,Risiko Tinggi
4,1158,Dalam Perbaikan,6,Risiko Sedang,Lainnya,Risiko Rendah
22,4708,Rusak,6,Risiko Rendah,Wheel Loader,Risiko Tinggi
6,4402,Dalam Perbaikan,10,Risiko Rendah,Dump Truck,Risiko Sedang
21,4011,Rusak,2,Risiko Rendah,Crane,Risiko Tinggi
0,3694,Dalam Perbaikan,0,Risiko Sedang,Excavator,Risiko Rendah
11,1118,Baik,6,Risiko Tinggi,Dump Truck,Risiko Rendah
6,4054,Rusak,10,Risiko Sedang,Forklift,Risiko Sedang
4,6880,Rusak,7,Risiko Rendah,Backhoe Loader,Risiko Tinggi
8,252,Baik,4,Risiko Rendah,Compactor,Risiko Rendah
19,4404,Rusak,2,Risiko Sedang,Lainnya,Risiko Tinggi
3,6328,Rusak,8,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
8,935,Rusak,8,Risiko Sedang,Dump Truck,Risiko Sedang
0,6199,Baik,7,Risiko Tinggi,Motor Grader,Risiko Tinggi
13,838,Dalam Perbaikan,10,Risiko Rendah,Compactor,Risiko Tinggi
25,3684,Rusak,5,Risiko Rendah,Wheel Loader,Risiko Tinggi
23,6353,Baik,3,Risiko Tinggi,Lainnya,Risiko Tinggi
4,2872,Dalam Perbaikan,9,Risiko Tinggi,Forklift,Risiko Rendah
21,5047,Baik,3,Risiko Rendah,Excavator,Risiko Tinggi
8,2873,Dalam Perbaikan,4,Risiko Tinggi,Dump Truck,Risiko Sedang
21,2651,Dalam Perbaikan,4,Risiko Sedang,Lainnya,Risiko Tinggi
18,7802,Dalam Perbaikan,10,Risiko Rendah,Bulldozer,Risiko Tinggi
2,6436,Rusak,0,Risiko Sedang,Bulldozer,Risiko Tinggi
4,7094,Baik,3,Risiko Rendah,Crane,Risiko Tinggi
0,2027,Dalam Perbaikan,6,Risiko Sedang,Bulldozer,Risiko Rendah
8,5180,Rusak,10,Risiko Sedang,Forklift,Risiko Tinggi
12,618,Dalam Perbaikan,1,Risiko Sedang,Dump Truck,Risiko Rendah
3,2279,Dalam Perbaikan,5,Risiko Sedang,Wheel Loader,Risiko Rendah
16,4767,Baik,1,Risiko Tinggi,Wheel Loader,Risiko Tinggi
6,5440,Dalam Perbaikan,5,Risiko Rendah,Dump Truck,Risiko Tinggi
14,1784,Rusak,3,Risiko Sedang,Compactor,Risiko Tinggi
16,6785,Rusak,5,Risiko Tinggi,Lainnya,Risiko Tinggi
22,4637,Rusak,5,Risiko Tinggi,Excavator,Risiko Tinggi
25,815,Dalam Perbaikan,7,Risiko Rendah,Backhoe Loader,Risiko Tinggi
21,3615,Rusak,0,Risiko Sedang,Motor Grader,Risiko Tinggi
4,7449,Baik,10,Risiko Sedang,Bulldozer,Risiko Tinggi
18,764,Dalam Perbaikan,5,Risiko Sedang,Backhoe Loader,Risiko Tinggi
15,5443,Dalam Perbaikan,2,Risiko Rendah,Forklift,Risiko Tinggi
6,2502,Dalam Perbaikan,3,Risiko Sedang,Backhoe Loader,Risiko Rendah
4,779,Baik,3,Risiko Sedang,Backhoe Loader,Risiko Rendah
22,4863,Baik,8,Risiko Tinggi,Wheel Loader,Risiko Tinggi
26,66,Dalam Perbaikan,5,Risiko Rendah,Forklift,Risiko Tinggi
4,1082,Rusak,1,Risiko Rendah,Forklift,Risiko Rendah
24,5986,Baik,1,Risiko Sedang,Crane,Risiko Tinggi
17,1123,Rusak,2,Risiko Tinggi,Bulldozer,Risiko Tinggi
24,4345,Dalam Perbaikan,0,Risiko Tinggi,Bulldozer,Risiko Tinggi
12,2876,Dalam Perbaikan,3,Risiko Tinggi,Bulldozer,Risiko Sedang
13,5046,Dalam Perbaikan,7,Risiko Rendah,Backhoe Loader,Risiko Tinggi
23,1146,Baik,9,Risiko Tinggi,Forklift,Risiko Tinggi
15,7890,Rusak,5,Risiko Rendah,Motor Grader,Risiko Tinggi
18,5280,Baik,3,Risiko Tinggi,Lainnya,Risiko Tinggi
7,5907,Dalam Perbaikan,4,Risiko Tinggi,Excavator,Risiko Tinggi
5,7174,Rusak,3,Risiko Tinggi,Lainnya,Risiko Tinggi
10,1545,Dalam Perbaikan,6,Risiko Sedang,Excavator,Risiko Sedang
1,7355,Baik,7,Risiko Sedang,Backhoe Loader,Risiko Tinggi
19,4092,Dalam Perbaikan,9,Risiko Rendah,Dump Truck,Risiko Tinggi
26,2958,Rusak,2,Risiko Sedang,Lainnya,Risiko Tinggi
13,2993,Dalam Perbaikan,10,Risiko Rendah,Wheel Loader,Risiko Tinggi
2,597,Baik,9,Risiko Rendah,Excavator,Risiko Rendah
18,1767,Baik,0,Risiko Sedang,Dump Truck,Risiko Tinggi
17,5149,Dalam Perbaikan,8,Risiko Sedang,Forklift,Risiko Tinggi
4,3295,Baik,10,Risiko Tinggi,Dump Truck,Risiko Sedang
7,1250,Rusak,1,Risiko Sedang,Backhoe Loader,Risiko Rendah
10,7544,Baik,2,Risiko Tinggi,Crane,Risiko Tinggi
14,4804,Dalam Perbaikan,10,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
17,5723,Rusak,3,Risiko Rendah,Motor Grader,Risiko Tinggi
24,7574,Rusak,1,Risiko Sedang,Lainnya,Risiko Tinggi
7,450,Rusak,10,Risiko Tinggi,Bulldozer,Risiko Sedang
23,103,Dalam Perbaikan,2,Risiko Tinggi,Excavator,Risiko Tinggi
21,4066,Rusak,8,Risiko Tinggi,Compactor,Risiko Tinggi
21,3046,Baik,4,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
2,7371,Baik,5,Risiko Sedang,Compactor,Risiko Tinggi
10,523,Rusak,9,Risiko Tinggi,Backhoe Loader,Risiko Sedang
11,3728,Dalam Perbaikan,5,Risiko Rendah,Wheel Loader,Risiko Sedang
8,1367,Rusak,2,Risiko Sedang,Backhoe Loader,Risiko Sedang
8,5522,Dalam Perbaikan,1,Risiko Rendah,Dump Truck,Risiko Tinggi
26,360,Baik,3,Risiko Rendah,Wheel Loader,Risiko Tinggi
15,3137,Baik,2,Risiko Rendah,Dump Truck,Risiko Tinggi
1,7487,Dalam Perbaikan,10,Risiko Sedang,Motor Grader,Risiko Tinggi
16,2033,Rusak,5,Risiko Sedang,Backhoe Loader,Risiko Tinggi
8,3054,Baik,8,Risiko Tinggi,Excavator,Risiko Sedang
21,1828,Dalam Perbaikan,0,Risiko Sedang,Backhoe Loader,Risiko Tinggi
12,7094,Rusak,4,Risiko Sedang,Backhoe Loader,Risiko Tinggi
9,3741,Baik,5,Risiko Rendah,Compactor,Risiko Sedang
8,6426,Rusak,9,Risiko Rendah,Wheel Loader,Risiko Tinggi
15,4847,Rusak,3,Risiko Tinggi,Dump Truck,Risiko Tinggi
2,6520,Baik,2,Risiko Rendah,Forklift,Risiko Tinggi
26,1908,Dalam Perbaikan,5,Risiko Tinggi,Excavator,Risiko Tinggi
16,11,Dalam Perbaikan,6,Risiko Tinggi,Compactor,Risiko Tinggi
23,1680,Dalam Perbaikan,3,Risiko Sedang,Wheel Loader,Risiko Tinggi
25,7967,Baik,4,Risiko Rendah,Excavator,Risiko Tinggi
19,7350,Dalam Perbaikan,6,Risiko Tinggi,Crane,Risiko Tinggi
12,7983,Dalam Perbaikan,1,Risiko Tinggi,Backhoe Loader,Risiko Tinggi
10,1093,Dalam Perbaikan,6,Risiko Rendah,Lainnya,Risiko Rendah
8,510,Rusak,10,Risiko Rendah,Motor Grader,Risiko Sedang
